Time,DesX,DesY,DesZ,DesVX,DesVY,DesVZ,PosX,PosY,PosZ,VelX,VelY,VelZ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.166666666666666609e-03,6.501374421296295922e-06,0.000000000000000000e+00,1.300274884259259184e-05,3.118489583333333356e-03,0.000000000000000000e+00,6.236979166666666713e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.124150911116645751e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.037813320050329072e-02
8.333333333333333218e-03,2.596932870370370242e-05,0.000000000000000000e+00,5.193865740740740485e-05,6.223958333333333946e-03,0.000000000000000000e+00,1.244791666666666789e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.122507360794852971e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.944520772302651662e-02
1.250000000000000069e-02,5.834960937500001117e-05,0.000000000000000000e+00,1.166992187500000223e-04,9.316406250000000902e-03,0.000000000000000000e+00,1.863281250000000180e-02,-7.529181753371558563e-24,-6.687256751344568928e-39,1.120122089582349934e-01,-1.807003620809174032e-21,-1.604941620322696522e-36,-5.724650910007380439e-02
1.666666666666666644e-02,1.035879629629629596e-04,0.000000000000000000e+00,2.071759259259259192e-04,1.239583333333333336e-02,0.000000000000000000e+00,2.479166666666666671e-02,1.228500763123727602e-08,-1.358048292538103465e-23,1.117045929053106235e-01,2.948401831496948283e-06,-3.259315902091447234e-21,-7.382785270184916149e-02
2.083333333333333218e-02,1.616301359953703563e-04,0.000000000000000000e+00,3.232602719907407126e-04,1.546223958333333391e-02,0.000000000000000000e+00,3.092447916666666782e-02,6.736912066587295292e-08,-5.563443917196499413e-23,1.113327910155624129e-01,1.322018712831256105e-05,-1.009294949918015061e-20,-8.923245353956933690e-02
2.500000000000000139e-02,2.324218750000000438e-04,0.000000000000000000e+00,4.648437500000000876e-04,1.851562500000000430e-02,0.000000000000000000e+00,3.703125000000000860e-02,2.165535906734051854e-07,-1.422977633566332393e-22,1.109015340793480381e-01,3.580427280180773940e-05,-2.079919780432037884e-20,-1.035016646914492244e-01
2.916666666666666713e-02,3.159089265046296341e-04,0.000000000000000000e+00,6.318178530092592683e-04,2.155598958333333065e-02,0.000000000000000000e+00,4.311197916666666130e-02,5.327904198592099785e-07,-3.218513143431025312e-22,1.104153859430400397e-01,7.589683900459316982e-05,-4.309285223675262743e-20,-1.166755527139197723e-01
3.333333333333333287e-02,4.120370370370369834e-04,0.000000000000000000e+00,8.240740740740739667e-04,2.458333333333333551e-02,0.000000000000000000e+00,4.916666666666667102e-02,1.110734174323350481e-06,-6.460430966552466937e-22,1.098787478873614609e-01,1.387065010713937104e-04,-7.780602775491460049e-20,-1.287931333628585251e-01
3.749999999999999861e-02,5.207519531250000017e-04,0.000000000000000000e+00,1.041503906250000003e-03,2.759765624999999806e-02,0.000000000000000000e+00,5.519531249999999611e-02,2.066409781741976760e-06,-1.169898133285905655e-21,1.092958626930058269e-01,2.293621457804703137e-04,-1.257252087913581567e-19,-1.398924466453508042e-01
