Time,DesX,DesY,DesZ,DesVX,DesVY,DesVZ,PosX,PosY,PosZ,VelX,VelY,VelZ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.166666666666666609e-03,6.501374421296295922e-06,0.000000000000000000e+00,1.300274884259259184e-05,3.118489583333333356e-03,0.000000000000000000e+00,6.236979166666666713e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.124095624758873480e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.170500578703702874e-02
8.333333333333333218e-03,2.596932870370370242e-05,0.000000000000000000e+00,5.193865740740740485e-05,6.223958333333333946e-03,0.000000000000000000e+00,1.244791666666666789e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.122377602285368481e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.123253936412148851e-02
1.250000000000000069e-02,5.834960937500001117e-05,0.000000000000000000e+00,1.166992187500000223e-04,9.316406250000000902e-03,0.000000000000000000e+00,1.863281250000000180e-02,-2.823443157514334645e-24,0.000000000000000000e+00,1.119930399747884053e-01,-6.776263578034403089e-22,0.000000000000000000e+00,-5.873286089962685697e-02
1.666666666666666644e-02,1.035879629629629596e-04,0.000000000000000000e+00,2.071759259259259192e-04,1.239583333333333336e-02,0.000000000000000000e+00,2.479166666666666671e-02,8.216685543549046615e-09,0.000000000000000000e+00,1.116832628171055136e-01,1.972004530451771849e-06,0.000000000000000000e+00,-7.434651784389310902e-02
2.083333333333333218e-02,1.616301359953703563e-04,0.000000000000000000e+00,3.232602719907407126e-04,1.546223958333333391e-02,0.000000000000000000e+00,3.092447916666666782e-02,4.524352275456290089e-08,-1.060102458822028704e-31,1.113157462326437169e-01,8.886440930643325106e-06,-2.544245901172868925e-29,-8.820398027083142800e-02
2.500000000000000139e-02,2.324218750000000438e-04,0.000000000000000000e+00,4.648437500000000876e-04,1.851562500000000430e-02,0.000000000000000000e+00,3.703125000000000860e-02,1.456301310448887623e-07,3.203773668107747319e-23,1.108973013755312070e-01,2.409278598967820812e-05,7.689056828901053387e-21,-1.004267657070008618e-01
2.916666666666666713e-02,3.159089265046296341e-04,0.000000000000000000e+00,6.318178530092592683e-04,2.155598958333333065e-02,0.000000000000000000e+00,4.311197916666666130e-02,3.581087832328118770e-07,1.315485354936128481e-22,1.104342668200767180e-01,5.099487652510155134e-05,2.388259171500849309e-20,-1.111282933090775166e-01
3.333333333333333287e-02,4.120370370370369834e-04,0.000000000000000000e+00,8.240740740740739667e-04,2.458333333333333551e-02,0.000000000000000000e+00,4.916666666666667102e-02,7.452174187807006882e-07,3.370093561278589247e-22,1.099325397812704191e-01,9.290607253149331130e-05,4.931059695221906438e-20,-1.204144893135107447e-01
3.749999999999999861e-02,5.207519531250000017e-04,0.000000000000000000e+00,1.041503906250000003e-03,2.759765624999999806e-02,0.000000000000000000e+00,5.519531249999999611e-02,1.382695375887644542e-06,6.896142723090837674e-22,1.093976052620611317e-01,1.529947097056665148e-04,8.462517988349395926e-20,-1.283842846102284663e-01
4.166666666666666435e-02,6.419994212962962200e-04,0.000000000000000000e+00,1.283998842592592440e-03,3.059895833333333218e-02,0.000000000000000000e+00,6.119791666666666435e-02,2.358813148645465385e-06,1.271144062303016796e-21,1.088345633207281893e-01,2.342682654618769413e-04,1.395671495985439345e-19,-1.351300659199051180e-01
4.583333333333333010e-02,7.757251880787035484e-04,0.000000000000000000e+00,1.551450376157407097e-03,3.358723958333333093e-02,0.000000000000000000e+00,6.717447916666666186e-02,3.773695887501237231e-06,2.168071100550420306e-21,1.082481545775602072e-01,3.395718573253852634e-04,2.152624891793767791e-19,-1.407380983603150892e-01
5.000000000000000278e-02,9.218750000000001683e-04,0.000000000000000000e+00,1.843750000000000337e-03,3.656250000000000472e-02,0.000000000000000000e+00,7.312500000000000944e-02,5.738659670110447410e-06,3.511665843534102469e-21,1.076427840637811800e-01,4.715913078262105851e-04,3.224627383160837793e-19,-1.452889233069681596e-01
5.416666666666666852e-02,1.080394603587962960e-03,0.000000000000000000e+00,2.160789207175925920e-03,3.952473958333333620e-02,0.000000000000000000e+00,7.904947916666667240e-02,8.375565770614198027e-06,5.439097051778888685e-21,1.070225435119662449e-01,6.328574641209002566e-04,4.625834899787487399e-19,-1.488577324355858378e-01
5.833333333333333426e-02,1.251229745370370430e-03,0.000000000000000000e+00,2.502459490740740859e-03,4.247395833333333232e-02,0.000000000000000000e+00,8.494791666666666463e-02,1.181619432629576739e-05,8.092769763861352135e-21,1.063912321843503983e-01,8.257508533635765126e-04,6.368814508997914086e-19,-1.515147186278026359e-01
6.250000000000000000e-02,1.434326171875000000e-03,0.000000000000000000e+00,2.868652343750000000e-03,4.541015625000000000e-02,0.000000000000000000e+00,9.082031250000000000e-02,1.620163800173800468e-05,1.135758530421546758e-20,1.057523763315784543e-01,1.052506482106137058e-03,7.835557296849878508e-19,-1.533254046652653968e-01
6.666666666666666574e-02,1.629629629629629527e-03,0.000000000000000000e+00,3.259259259259259054e-03,4.833333333333333925e-02,0.000000000000000000e+00,9.666666666666667851e-02,2.168171611753167601e-05,1.511202919497216007e-20,1.051092473698285873e-01,1.315218747790481172e-03,9.010665337816060059e-19,-1.543509508199694125e-01
7.083333333333333148e-02,1.837085865162036650e-03,0.000000000000000000e+00,3.674171730324073300e-03,5.124348958333332926e-02,0.000000000000000000e+00,1.024869791666666585e-01,2.841440961164785615e-05,1.936493043089110889e-20,1.044648788593076361e-01,1.615846438587883235e-03,1.020696296620547812e-18,-1.546484425250282124e-01
7.499999999999999722e-02,2.056640625000000309e-03,0.000000000000000000e+00,4.113281250000000618e-03,5.414062499999999778e-02,0.000000000000000000e+00,1.082812499999999956e-01,3.656531704259006365e-05,2.430896104282406618e-20,1.038220823621576749e-01,1.956217783426129637e-03,1.186567346863909991e-18,-1.542711593159920846e-01
7.916666666666666297e-02,2.288239655671295975e-03,0.000000000000000000e+00,4.576479311342591949e-03,5.702473958333333093e-02,0.000000000000000000e+00,1.140494791666666619e-01,4.630713165202675954e-05,3.000124580747412408e-20,1.031834622529868434e-01,2.338035506264806579e-03,1.366148343516014184e-18,-1.532688262009987146e-01
8.333333333333332871e-02,2.531828703703703672e-03,0.000000000000000000e+00,5.063657407407407343e-03,5.989583333333333565e-02,0.000000000000000000e+00,1.197916666666666713e-01,5.781913931469495599e-05,3.630949267389558318e-20,1.025514295506195633e-01,2.762881839040366716e-03,1.513979247941150377e-18,-1.516878485681485700e-01
8.749999999999999445e-02,2.787353515624999521e-03,0.000000000000000000e+00,5.574707031249999042e-03,6.275390624999999112e-02,0.000000000000000000e+00,1.255078124999999822e-01,7.128673703458750374e-05,4.309705641794329824e-20,1.019282148352817774e-01,3.232223452774210699e-03,1.629015298571451326e-18,-1.495715316810685702e-01
9.166666666666666019e-02,3.054759837962962681e-03,0.000000000000000000e+00,6.109519675925925361e-03,6.559895833333333204e-02,0.000000000000000000e+00,1.311979166666666641e-01,8.690097150660316288e-05,5.070985480125281145e-20,1.013158803113066025e-01,3.747416273283757111e-03,1.827071611994283171e-18,-1.469602857540412977e-01
9.583333333333332593e-02,3.333993417245370138e-03,0.000000000000000000e+00,6.667986834490740276e-03,6.843098958333332371e-02,0.000000000000000000e+00,1.368619791666666474e-01,1.048580971530089904e-04,5.950047584324700298e-20,1.007163310715605969e-01,4.309710155137399905e-03,2.109749050078606642e-18,-1.438918175390422050e-01
1.000000000000000056e-01,3.625000000000000618e-03,0.000000000000000000e+00,7.250000000000001235e-03,7.125000000000000777e-02,0.000000000000000000e+00,1.425000000000000155e-01,1.253591529620611119e-04,6.943031434441429757e-20,1.001313256161443926e-01,4.920253394172506567e-03,2.383161240280151472e-18,-1.404013092998881163e-01
