Time,DesX,DesY,DesZ,DesVX,DesVY,DesVZ,PosX,PosY,PosZ,VelX,VelY,VelZ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.235987755982988157e-01,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.166666666666666609e-03,2.181659834336769233e-03,2.181654642373285092e-03,1.000000000000000000e+00,5.235975295260740792e-01,5.235937913153307921e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.126936642735485161e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.647942565164302209e-02
8.333333333333333218e-03,4.363309284746570184e-03,4.363267749186966471e-03,1.000000000000000000e+00,5.235937913153307921e-01,5.235788385613203699e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.023345402697246850e-23,1.130814071290978523e-01,0.000000000000000000e+00,-1.445602896647339225e-20,9.305828533184121176e-02
1.250000000000000069e-02,6.544937967351858142e-03,6.544797785672219759e-03,1.000000000000000000e+00,5.235875609838614997e-01,5.235539176209463852e-01,0.000000000000000000e+00,2.836190936648647873e-07,2.834618959012904537e-07,1.136636452936500424e-01,6.806858247956754896e-05,6.803085501630971735e-05,1.397371594925272409e-01
1.666666666666666644e-02,8.726535498373932942e-03,8.726203218641754092e-03,1.000000000000000000e+00,5.235788385613203699e-01,5.235190289686676435e-01,0.000000000000000000e+00,1.420201365966416471e-06,1.417829076774158700e-06,1.144407924168094476e-01,2.727797453523723905e-04,2.722481234094883571e-04,1.865153095582555987e-01
2.083333333333333218e-02,1.090809149418237207e-02,1.090744251728055850e-02,1.000000000000000000e+00,5.235676240892229716e-01,5.234741732687137050e-01,0.000000000000000000e+00,4.267483434987515113e-06,4.254375033243120311e-06,1.154132520721062594e-01,6.833476965650638231e-04,6.807710295525508815e-04,2.333903172712344098e-01
2.500000000000000139e-02,1.308959557134443952e-02,1.308847415393657454e-02,1.000000000000000000e+00,5.235539176209463852e-01,5.234193513750724502e-01,0.000000000000000000e+00,9.974750761577070194e-06,9.927346117366211427e-06,1.165814092569320282e-01,1.369744158381493247e-03,1.361513060189541678e-03,2.803577243581850675e-01
2.916666666666666713e-02,1.527103734667451321e-02,1.526925660491132777e-02,1.000000000000000000e+00,5.235377192217283149e-01,5.233545643314738705e-01,0.000000000000000000e+00,1.998639836614281228e-05,1.985235406175526877e-05,1.179456202650845525e-01,2.402795425095778127e-03,2.382001906653373382e-03,3.274106419566045201e-01
3.333333333333333287e-02,1.745240643728350818e-02,1.744974835125048113e-02,1.000000000000000000e+00,5.235190289686676435e-01,5.232798133713697508e-01,0.000000000000000000e+00,3.604580010259727878e-05,3.572396446274699467e-05,1.195062009174067685e-01,3.854256416749071365e-03,3.809186496238014218e-03,3.745393565573326145e-01
3.749999999999999861e-02,1.963369246062829712e-02,1.962990787953430155e-02,1.000000000000000000e+00,5.234978469507229892e-01,5.231950999179106887e-01,0.000000000000000000e+00,6.019284895522338349e-05,5.950603103411921280e-05,1.212631170889910126e-01,5.795291724630264804e-03,5.707695977129331917e-03,4.216598811802192981e-01
