Time,DesX,DesY,DesZ,DesVX,DesVY,DesVZ,PosX,PosY,PosZ,VelX,VelY,VelZ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.235987755982988157e-01,5.235987755982988157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.166666666666666609e-03,2.181659834336769233e-03,2.181654642373285092e-03,1.000000000000000000e+00,5.235975295260740792e-01,5.235937913153307921e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.126961751342891171e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.708203222938654037e-02
8.333333333333333218e-03,4.363309284746570184e-03,4.363267749186966471e-03,1.000000000000000000e+00,5.235937913153307921e-01,5.235788385613203699e-01,0.000000000000000000e+00,3.011672701348623425e-23,-6.023345402697246850e-23,1.130852825772082626e-01,7.228014483236696126e-21,-1.445602896647339225e-20,9.338578630059353458e-02
1.250000000000000069e-02,6.544937967351858142e-03,6.544797785672219759e-03,1.000000000000000000e+00,5.235875609838614997e-01,5.235539176209463852e-01,0.000000000000000000e+00,2.819622254435835737e-07,2.818280681622124302e-07,1.136641618248569047e-01,6.767093410646005005e-05,6.763873635893100273e-05,1.389310194356746520e-01
1.666666666666666644e-02,8.726535498373932942e-03,8.726203218641754092e-03,1.000000000000000000e+00,5.235788385613203699e-01,5.235190289686676435e-01,0.000000000000000000e+00,1.400718074165298811e-06,1.398556222298749213e-06,1.144297276446662182e-01,2.685014036932116543e-04,2.680147569927688288e-04,1.837357967542351533e-01
2.083333333333333218e-02,1.090809149418237207e-02,1.090744251728055850e-02,1.000000000000000000e+00,5.235676240892229716e-01,5.234741732687137050e-01,0.000000000000000000e+00,4.176046094110592898e-06,4.163609217400877100e-06,1.153789616958519476e-01,6.660787247868705640e-04,6.636127188245108215e-04,2.278161722845734594e-01
2.500000000000000139e-02,1.308959557134443952e-02,1.308847415393657454e-02,1.000000000000000000e+00,5.235539176209463852e-01,5.234193513750724502e-01,0.000000000000000000e+00,9.671433617163022217e-06,9.625002542340416054e-06,1.165070400419194324e-01,1.318893005532582874e-03,1.310734397985489214e-03,2.707388030561956316e-01
2.916666666666666713e-02,1.527103734667451321e-02,1.526925660491132777e-02,1.000000000000000000e+00,5.235377192217283149e-01,5.233545643314738705e-01,0.000000000000000000e+00,1.917504579880407537e-05,1.904019761126140046e-05,1.178080262350259533e-01,2.280866923593852756e-03,2.259646816541035878e-03,3.122366863455665054e-01
3.333333333333333287e-02,1.745240643728350818e-02,1.744974835125048113e-02,1.000000000000000000e+00,5.235190289686676435e-01,5.232798133713697508e-01,0.000000000000000000e+00,3.419630322509887503e-05,3.386502328018850202e-05,1.192761866139179505e-01,3.605101782310752082e-03,3.557958160542503724e-03,3.523584909340797267e-01
3.749999999999999861e-02,1.963369246062829712e-02,1.962990787953430155e-02,1.000000000000000000e+00,5.234978469507229892e-01,5.231950999179106887e-01,0.000000000000000000e+00,5.645748497351129268e-05,5.573648755082583918e-05,1.209059643291778563e-01,5.342683619618980237e-03,5.249151424952961352e-03,3.911466516623763878e-01
4.166666666666666435e-02,2.181488503456111699e-02,2.180969368266799657e-02,1.000000000000000000e+00,5.234741732687137050e-01,5.231004255839186712e-01,0.000000000000000000e+00,8.788640760058088314e-05,8.645561046611256804e-05,1.226919537375396746e-01,7.542941430496700843e-03,7.372589499668813842e-03,4.286374580068347817e-01
4.583333333333333010e-02,2.399597377737899134e-02,2.398906426067196757e-02,1.000000000000000000e+00,5.234480080353177689e-01,5.229957921718565439e-01,0.000000000000000000e+00,1.305866203417153600e-04,1.279478962655842915e-04,1.246282123607026504e-01,1.024805105787227229e-02,9.958148591873213634e-03,4.647020695591150274e-01
5.000000000000000278e-02,2.617694830787314908e-02,2.616797812147191385e-02,1.000000000000000000e+00,5.234193513750724502e-01,5.228812016737937052e-01,0.000000000000000000e+00,1.868709729348331269e-04,1.822839548049805388e-04,1.267095186595773304e-01,1.350824462234826058e-02,1.304065404945509848e-02,4.995135117299214778e-01
5.416666666666666852e-02,2.835779824537841901e-02,2.834639378168875290e-02,1.000000000000000000e+00,5.233882034243734216e-01,5.227566562713679144e-01,0.000000000000000000e+00,2.590175169591406464e-04,2.516705199163363910e-04,1.289308002051663127e-01,1.731517056583380121e-02,1.665277562672540582e-02,5.331075709413526376e-01
