Time,DesX,DesY,DesZ,DesVX,DesVY,DesVZ,PosX,PosY,PosZ,VelX,VelY,VelZ
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.166666666666666609e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.300274884259259184e-05,0.000000000000000000e+00,0.000000000000000000e+00,6.236979166666666713e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.124022934348056640e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.344957564664197983e-02
8.333333333333333218e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.193865740740740485e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.244791666666666789e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.122068969707070568e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.689515138366592145e-02
1.250000000000000069e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.166992187500000223e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.863281250000000180e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.119138280346818198e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.033654464605629264e-02
1.666666666666666644e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.071759259259259192e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.479166666666666671e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.115278576669021804e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.263288826711332802e-02
2.083333333333333218e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.232602719907407126e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.092447916666666782e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.110562123500158094e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.131948760527284603e-01
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.648437500000000876e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.703125000000000860e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.105058852687181709e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.320784995114341054e-01
2.916666666666666713e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.318178530092592683e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.311197916666666130e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.098836411925727674e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.493385782748962443e-01
3.333333333333333287e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.240740740740739667e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.916666666666667102e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.091960206057649568e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.650289408338731501e-01
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.041503906250000003e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.519531249999999611e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.084493431659938056e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.792025855450749272e-01
